id;review_id;review_date;comments;overall_rating
1;22532;2024-05-18;../fake-data/blob/hipster.txt;but
2;30826;2024-05-18;../fake-data/blob/hipster.txt;bah since back
3;18720;2024-05-19;../fake-data/blob/hipster.txt;whether incidentally whirlpool
4;18400;2024-05-18;../fake-data/blob/hipster.txt;now
5;31407;2024-05-18;../fake-data/blob/hipster.txt;snoop incompatible
6;30133;2024-05-18;../fake-data/blob/hipster.txt;lovingly trudge count
7;30877;2024-05-19;../fake-data/blob/hipster.txt;phew cruelly crank
8;15023;2024-05-18;../fake-data/blob/hipster.txt;squeak
9;547;2024-05-18;../fake-data/blob/hipster.txt;winding chubby
10;17228;2024-05-18;../fake-data/blob/hipster.txt;mechanically
